depth1,depth2,depth3,depth4
1,22,283,6122
0,8,118,2510
1,4,95,1412
0,8,128,2388
1,13,329,7381
0,14,396,5456
1,20,152,3647
1,6,196,5086
0,7,151,1989
1,22,306,7625
1,10,385,8782
0,16,403,6153
1,32,664,19510
1,20,706,16419
1,23,338,5011
1,16,271,8141
1,10,388,7126
1,28,459,6132
1,25,708,20269
1,15,466,7645
1,31,428,8681
1,13,176,4183
1,6,146,2283
0,11,218,3082
1,17,359,8267
1,6,125,1681
0,5,91,1024
0,6,46,555
1,3,29,399
0,2,18,181
0,2,25,303
0,3,31,426
1,3,61,614
0,6,72,851
0,7,83,1247
1,4,65,643
0,2,28,315
0,3,35,324
0,1,12,100
0,1,6,35
0,1,4,29
1,0,2,11
0,1,3,13
0,0,2,9
0,1,1,3
0,0,2,5
0,0,0,3
0,0,1,0
0,0,0,1
0,0,0,0
0,1,0,1
0,0,0,0
0,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,6,79,1431
0,7,90,1687
1,7,143,2657
0,12,224,4542
1,15,364,7162
1,18,263,5204
1,13,313,7291
1,14,511,9676
1,37,461,12016
1,18,473,14881
1,11,337,6183
0,25,504,11386
1,21,501,13713
1,16,439,9063
1,25,651,16348
1,28,603,16318
1,18,387,8052
0,16,284,5881
1,14,353,9059
1,15,363,7435
1,23,568,13493
1,24,645,17813
1,24,533,12561
1,19,415,10125
1,15,333,8405
1,18,543,11979
0,26,548,11586
2,27,629,18374
0,23,818,18237
1,38,682,16363
2,31,1025,33126
1,27,815,16708
1,36,910,25331
1,28,836,20262
1,34,799,19165
1,34,978,25784
1,26,547,12222
1,23,493,12103
1,22,779,17609
1,36,725,15928
1,28,689,18740
1,19,394,8383
1,21,576,13873
1,30,651,12193
1,25,624,15692
1,19,554,12313
2,33,856,18429
1,30,967,25040
1,35,996,22167
1,50,1469,46062
2,37,1136,26211
1,40,1238,30822
1,42,745,19564
1,15,527,11611
1,18,377,5280
1,28,367,10197
1,12,405,8168
0,19,386,5001
1,22,291,6296
